gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
ZSWIM5,Homo,,,,,,,0,,0,,1,ZSWIM5,0,,summary_not_found
TESK2,Homo,10420,TESK2,testis associated actin remodelling kinase 2,,1,"This gene product is a serine/threonine protein kinase that contains an N-terminal protein kinase domain that is structurally similar to the kinase domains of testis-specific protein kinase-1 and the LIM motif-containing protein kinases (LIMKs). Its overall structure is most related to the former, indicating that it belongs to the TESK subgroup of the LIMK/TESK family of protein kinases. This gene is predominantly expressed in testis and prostate. The developmental expression pattern of the rat gene in testis suggests an important role for this gene in meitoic stages and/or early stages of spermiogenesis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]",0,,0,,1,TESK2,0,,
MAST2,Homo,,,,,,,0,,0,,1,MAST2,0,,summary_not_found
PIK3R3,Homo,,,,,,,0,,0,,3,PIK3R3; P3R3URF; P3R3URF-PIK3R3,0,,summary_not_found
TSPAN1,Homo,,,,,,,0,,0,,1,TSPAN1,0,,summary_not_found
TEX38,Homo,,,,,,,0,,0,,1,TEX38,0,,summary_not_found
STIL,Homo,,,,,,,0,,0,,1,STIL,1,procentriole replication complex,summary_not_found
SPATA6,Homo,54558,SPATA6,spermatogenesis associated 6,,1,"Predicted to enable myosin light chain binding activity. Predicted to be involved in motile cilium assembly and spermatogenesis. Predicted to be located in extracellular region and motile cilium. Predicted to be active in sperm head-tail coupling apparatus. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SPATA6,0,,
AGBL4,Homo,,,,,,,0,,0,,3,AGBL4; AGBL4-IT1; AGBL4-AS1,0,,summary_not_found
ELAVL4,Homo,,,,,,,0,,0,,2,ELAVL4; ELAVL4-AS1,0,,summary_not_found
TTC39A-AS1,Homo,102724097,TTC39A-AS1,TTC39A antisense RNA 1,,1,"Predicted to enable chromatin binding activity; ribonucleoprotein complex binding activity; and transcription cis-regulatory region binding activity. Predicted to act upstream of or within with a negative effect on inflammatory response and transcription by RNA polymerase II. Predicted to act upstream of or within gene expression; nucleosome organization; and response to lipopolysaccharide. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,TTC39A-AS1,0,,
ACOT11,Homo,26027,ACOT11,acyl-CoA thioesterase 11,,1,"This gene encodes a member of the acyl-CoA thioesterase family which catalyse the conversion of activated fatty acids to the corresponding non-esterified fatty acid and coenzyme A. Expression of a mouse homolog in brown adipose tissue is induced by low temperatures and repressed by warm temperatures. Higher levels of expression of the mouse homolog has been found in obesity-resistant mice compared with obesity-prone mice, suggesting a role of acyl-CoA thioesterase 11 in obesity. Alternative splicing results in transcript variants. [provided by RefSeq, Nov 2010]",0,,0,,1,ACOT11,0,,
